"funding_round_uuid","investor_uuid","investor_name"
"35fa83eb-4d9b-7537-f414-1dbdb5a3aa78","cd888a28-5339-b9f0-3aec-9a98c82fd447","Acadia Woods Partners"
"a58ec48c-3762-1a12-70bc-3e9bfc3e794c","30b3efdf-6024-804d-ea55-c4d1a8dfc86c","Goldman Sachs"
"30caabd3-df0a-2123-2475-1d8e4b3047fd","a0a1490e-9ad3-6f89-ab4a-92fe8fd24022","ZG Ventures"
"30caabd3-df0a-2123-2475-1d8e4b3047fd","fe5a4983-a46a-2fc2-5633-e35e0a86b694","Khosla Ventures"
"30caabd3-df0a-2123-2475-1d8e4b3047fd","8882f54b-0f22-0bdc-3f04-22d688445c55","Jesselson Capital"
"44dc7666-15a2-9f51-4a7a-d7015f612185","e2006571-6b7a-e477-002a-f7014f48a7e3","Greylock"
"44dc7666-15a2-9f51-4a7a-d7015f612185","f4d5ab44-058b-298b-ea81-380e6e9a8eec","Omidyar Network"
"117cb4bc-01ba-029e-d772-09f108b3d481","0c867fde-2b9a-df10-fdb9-66b74f355f91","Sequoia Capital"
"7618f73c-6d32-8b6f-4aae-114fd051289d","1f561789-f63e-fc82-b7a9-edb81bf97db5","Minor Ventures"
"ccd4eb89-6b6b-0abb-40d8-7bc7a70c9961","b17358c5-2334-a1fc-1024-8a741e35f8bc","Cambrian Ventures"
"ccd4eb89-6b6b-0abb-40d8-7bc7a70c9961","d5df3873-7871-c608-0284-c74d0b555ccd","Lightspeed Venture Partners"
"ccd4eb89-6b6b-0abb-40d8-7bc7a70c9961","d29973c3-95ec-691d-defd-6a6ba713c72a","Redpoint"
"049bb132-e440-88cf-ea4b-028f4e45c332","17bce131-073a-7a81-58cd-02ced9e5322c","Bob Kavner"
"049bb132-e440-88cf-ea4b-028f4e45c332","df0b4944-df9a-1bca-6de7-daf25876e1c6","Selby Venture Partners"
"049bb132-e440-88cf-ea4b-028f4e45c332","b1bd2330-1e0c-8c34-d5d6-2e916d4cb5b5","Peter Gotcher"
"049bb132-e440-88cf-ea4b-028f4e45c332","98e158f9-8bee-a447-c7f7-4cb7b0ef3ee8","Walden Venture Capital"
"049bb132-e440-88cf-ea4b-028f4e45c332","8284507e-1bed-4357-12ec-1e0dbf954fd7","Labrador Ventures"
"b521a57c-11d1-56de-6da2-a2a57debba89","0c867fde-2b9a-df10-fdb9-66b74f355f91","Sequoia Capital"
"009bfd5c-dfca-8284-d6fe-31425a3865f7","6cf6823f-755c-6663-37d4-7f1f9ab3e3aa","CenterPoint Venture Partners"
"009bfd5c-dfca-8284-d6fe-31425a3865f7","136e26af-ae92-8a98-4557-838d09f86854","Armstrong Group and Associated Partners"
"009bfd5c-dfca-8284-d6fe-31425a3865f7","10f60270-a903-4786-68d8-5b3dff93b73c","Novak Biddle Venture Partners"
"009bfd5c-dfca-8284-d6fe-31425a3865f7","a0a1490e-9ad3-6f89-ab4a-92fe8fd24022","ZG Ventures"
"009bfd5c-dfca-8284-d6fe-31425a3865f7","3eafb4fb-bdd0-0a80-4ea4-ae85b1c02bbf","Novitas Capital"
"5b12edff-3ff7-fba8-e3cd-bb4c6e1add70","a34c63f0-c277-3e4b-bbfc-1868ca81596d","Menlo Ventures"
"ab81a78e-7c6f-ecf2-562d-3085f1eaa14f","10f60270-a903-4786-68d8-5b3dff93b73c","Novak Biddle Venture Partners"
"ab81a78e-7c6f-ecf2-562d-3085f1eaa14f","3eafb4fb-bdd0-0a80-4ea4-ae85b1c02bbf","Novitas Capital"
"8bc644cd-96f2-049f-a8d6-31afb8ef9782","4fae4543-f47c-f737-3ff4-c6f0e6fb2022","Comerica Incorporated"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","d3d78bfd-071b-ff67-85b4-579cb3f0226c","Kanwal Rekhi"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","a1db0695-72af-2f6f-aeeb-971b4a6fad94","Rajeev Motwani"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","0ee606f8-e4ef-4390-52b8-80a9e8c83711","Shea Ventures"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","5022e858-08de-d74f-8958-abc045e70b67","Garage Technology Ventures"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","7ef26a64-22b6-436e-d61f-f92c0b65c33c","Georges Harik"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","4e76f5b4-512d-3322-afd9-58f85f9fe902","Iggy Fanlo"
"70759bf6-3a3b-f39e-db21-482dfeb56ae8","43b343a7-ff56-090a-63fa-5f833e55ea6d","Ronald Conway"
"550a1ea9-0a12-bdaa-3018-1b4fdf196042","eb9ce478-e454-486d-9d1e-a4c53e655bdb","Threshold"
"550a1ea9-0a12-bdaa-3018-1b4fdf196042","8f711c10-e6b6-6763-9306-35ba5fadc90a","BEV Capital"
"550a1ea9-0a12-bdaa-3018-1b4fdf196042","036859ec-45a0-136d-c7ae-205a6d541a69","Vulcan Capital"
"550a1ea9-0a12-bdaa-3018-1b4fdf196042","cf253887-5eac-21a2-28d3-47db7311f7e9","Madrona Venture Group"
